web-scraper-order,web-scraper-start-url,voiture_link,voiture_link-href,etat,marque,annee,boite_vitesse,adresse,prix,image-src
"1750847966-207","https://www.expat-dakar.com/voitures?page=347","Peugeot 3008 Gt Line 2018
                                VenantPeugeot2018Automatique
                                                                                    Sacré-cœur,
                                                                                Dakar
                                    
                                        30. mars, 13:14
                                    
                    13 900 000 F Cfa
                        
                        776617765","https://www.expat-dakar.com/annonce/peugeot-3008-gt-line-2018-6324188","Venant","Peugeot","2018","Automatique","Sacré-cœur","13 900 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/12a86dfc22cd35373a6bcc08c2403bb4/-/horizon-files-prod/ed/picture/q6xd0gm6/117d52e355a62519d646521b2f8d61233169f240.jpg"
"1750847969-208","https://www.expat-dakar.com/voitures?page=347","Peugeot 308 Anne 2010
                                D'occasionPeugeot2010Manuelle
                                                                                    Fenêtre mermoz,
                                                                                Dakar
                                    
                                        30. mars, 14:14
                                    
                    3 200 000 F Cfa
                        
                        775991010","https://www.expat-dakar.com/annonce/peugeot-308-anne-2010-6323814","D'occasion","Peugeot","2010","Manuelle","Fenêtre mermoz","3 200 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/53295ca1688fe0744f496e6e9aa7b25d/-/horizon-files-prod/ed/picture/qkr894z5/f212144709ff8ee75bb07dc7aec2bc7aff7c6156.jpg"
"1750847979-209","https://www.expat-dakar.com/voitures?page=347","Citroen C8 Anne 2014
                                D'occasionCitroen2014Manuelle
                                                                                    Sacré-cœur,
                                                                                Dakar
                                    
                                        7. avr., 17:06
                                    
                    3 500 000 F Cfa
                        
                        775991010","https://www.expat-dakar.com/annonce/citroen-c8-anne-2014-6324220","D'occasion","Citroen","2014","Manuelle","Sacré-cœur","3 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/ef202bd81272082af2657bb037e6abb2/-/horizon-files-prod/ed/picture/qenvg6jj/def2f79e4d77fde0443d561cceff647d3e834136.jpg"
"1750847982-210","https://www.expat-dakar.com/voitures?page=347","Ford focus Anne 2014
                                D'occasionFord2014Automatique
                                                                                    Sicap foire,
                                                                                Dakar
                                    
                                        30. mars, 16:34
                                    
                    2 700 000 F Cfa
                        
                        775991010","https://www.expat-dakar.com/annonce/ford-focus-anne-2014-6324246","D'occasion","Ford","2014","Automatique","Sicap foire","2 700 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/39f8e09c0ab0aa465e138bb1cd138bc6/-/horizon-files-prod/ed/picture/qv4wn20j/952cfe36e89e65dfbbb91ac3c0e6f5289de069ed.jpg"
"1750847988-211","https://www.expat-dakar.com/voitures?page=346","Hyundai elantra  2017
                                VenantHyundai2017Automatique
                                                                                    Ngor,
                                                                                Dakar
                                    
                                        8. avr., 17:44
                                    
                    5 400 000 F Cfa
                        
                        772201467","https://www.expat-dakar.com/annonce/hyundai-elantra-2017-6324284","Venant","Hyundai","2017","Automatique","Ngor","5 400 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/c30ef1b1f7ed3174dcc5204ba974ad77/-/horizon-files-prod/ed/picture/qde7x5q4/18c5f7c1539def7c56600ebd9929375b3b81b921.jpg"
"1750847990-212","https://www.expat-dakar.com/voitures?page=346","Ford focus
                                VenantFord2014Automatique
                                                                                    Cité Damel,
                                                                                Dakar
                                    
                                        30. mars, 22:18
                                    
                    3 000 000 F Cfa
                        
                        775483835
                    
                        775483835","https://www.expat-dakar.com/annonce/ford-focus-6324342","Venant","Ford","2014","Automatique","Cité Damel","3 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/0739e634bc43f79d5bf36638f9aba78f/-/horizon-files-prod/ed/picture/qenvg645/e54fef4b9d7005243f8b0ba475f167d2c855794b.jpg"
"1750847993-213","https://www.expat-dakar.com/voitures?page=346","MAZDA -CX5
                                D'occasionMazda2015Automatique
                                                                                    Colobane,
                                                                                Dakar
                                    
                                        31. mars, 22:07
                                    
                    5 800 000 F Cfa
                        
                        773158255","https://www.expat-dakar.com/annonce/mazda-cx5-6324707","D'occasion","Mazda","2015","Automatique","Colobane","5 800 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/3183e310846af88820cd1a06cbd65f87/-/horizon-files-prod/ed/picture/qq42pp8n/7e50cf4671bee3a3beb02692fae1561de5dc972a.jpg"
"1750847996-214","https://www.expat-dakar.com/voitures?page=346","Ford Ranger Wildtrak
                                D'occasionFord2015Automatique
                                                                                    Mbour,
                                                                                Thiès
                                    
                                        1. avr., 11:16
                                    
                    15 500 000 F Cfa
                        
                        774281392","https://www.expat-dakar.com/annonce/ford-ranger-wildtrak-6324558","D'occasion","Ford","2015","Automatique","Mbour","15 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/bf1140bdd15876628c0f76b37babe887/-/horizon-files-prod/ed/picture/qkr8997w/4efdb723e8bc15d432b34baaf2e780bff9354be8.jpg"
"1750847998-215","https://www.expat-dakar.com/voitures?page=346","Lincoln MKC 2016
                                VenantLincoln2016Automatique
                                                                                    Sicap foire,
                                                                                Dakar
                                    
                                        1. avr., 16:55
                                    
                                            Vendeur vérifié
                                        
                    9 700 000 F Cfa
                        
                        775441821
                    
                        775775673","https://www.expat-dakar.com/annonce/lincoln-mkc-2016-6325245","Venant","Lincoln","2016","Automatique","Sicap foire","9 700 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/9df189ee5f84260d53ec9c52fe365076/-/horizon-files-prod/ed/picture/q78jvvq5/fd52394ffc8229de1582f2c57dac8e780a52220a.jpg"
"1750848008-216","https://www.expat-dakar.com/voitures?page=346","Mitsubishi 2019 montero sport
                                D'occasionMitsubishi2019Automatique
                                                                                    VDN,
                                                                                Dakar
                                    
                                        1. avr., 17:48
                                    
                    12 999 999 F Cfa
                        
                        776105013
                    
                        776334040
                    
                        762529194","https://www.expat-dakar.com/annonce/mitsubishi-2019-montero-sport-6322202","D'occasion","Mitsubishi","2019","Automatique","VDN","12 999 999 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/538817209054b71b89a2387a9d9599f3/-/horizon-files-prod/ed/picture/qv4wnjk8/38730bd657f88a52634c54e177cd7b2360a4fa20.jpg"
"1750848010-217","https://www.expat-dakar.com/voitures?page=346","MAZDA GT CX5 AWD 4X4 FULL
                                NeufMazda2016Automatique
                                                                                    VDN,
                                                                                Dakar
                                    
                                        1. avr., 17:50
                                    
                    9 700 000 F Cfa
                        
                        776105013
                    
                        776334040
                    
                        762529194","https://www.expat-dakar.com/annonce/mazda-gt-cx5-awd-4x4-full-6317692","Neuf","Mazda","2016","Automatique","VDN","9 700 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/90c383c927df5f42a16ad87594aca54b/-/horizon-files-prod/ed/picture/q9mj4rm7/6e91d438f189bc16ad821e0f217c40c67e9305ce.jpg"
"1750848018-218","https://www.expat-dakar.com/voitures?page=345","ML350 de 2009
                                D'occasionMercedes-Benz2009Automatique
                                                                                    Grand-Dakar,
                                                                                Dakar
                                    
                                        1. avr., 18:05
                                    
                    10 000 000 F Cfa
                        
                        776821108","https://www.expat-dakar.com/annonce/ml350-de-2009-6308562","D'occasion","Mercedes-Benz","2009","Automatique","Grand-Dakar","10 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/ca343c9e6375287394dc76c15e62b8be/-/horizon-files-prod/ed/picture/qde75478/798b998b4068ffb8c5922a7dfb1de5b70b76b8cd.jpg"
"1750848021-219","https://www.expat-dakar.com/voitures?page=345","Jeep
                                D'occasionJeep2017Automatique
                                                                                    Liberte 6,
                                                                                Dakar
                                    
                                        2. avr., 09:47
                                    
                        779065489
                    
                        779065489","https://www.expat-dakar.com/annonce/jeep-6305516","D'occasion","Jeep","2017","Automatique","Liberte 6","","https://i.roamcdn.net/hz/ed/listing-thumb-543w/019c47c00849e86a9529e9b282c11222/-/horizon-files-prod/ed/picture/qpdmx6xj/97798c91df2cc45423a5cf0ca584392a7d1e35c3.jpg"
"1750848024-220","https://www.expat-dakar.com/voitures?page=345","Ford explorer sport 2016
                                VenantFord2016Automatique
                                                                                    Ouest foire,
                                                                                Dakar
                                    
                                        19. avr., 21:36
                                    
                    8 300 000 F Cfa
                        
                        777217869","https://www.expat-dakar.com/annonce/ford-explorer-sport-2016-6311674","Venant","Ford","2016","Automatique","Ouest foire","8 300 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/2ca64a519c4bf48ec253e8eb2d991f58/-/horizon-files-prod/ed/picture/q8v4j7rp/d1936638831c70418f723317e8d0ac93665f508c.jpg"
"1750848027-221","https://www.expat-dakar.com/voitures?page=345","Hyundai elantra
                                VenantHyundai2016Automatique
                                                                                    Ngor,
                                                                                Dakar
                                    
                                        1. avr., 20:33
                                    
                    5 200 000 F Cfa
                        
                        772201467","https://www.expat-dakar.com/annonce/hyundai-elantra-6325350","Venant","Hyundai","2016","Automatique","Ngor","5 200 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/1922ddef8f3cb72a61e0d89665c1a9a5/-/horizon-files-prod/ed/picture/qwermmvd/f40aee5a1cb183a5f0a80fa9652edf940daf81a3.jpg"
"1750848030-222","https://www.expat-dakar.com/voitures?page=345","Hyundai tucson 2017
                                VenantHyundai2017Automatique
                                                                                    Parcelles Assainies,
                                                                                Dakar
                                    
                                        23. avr., 15:16
                                    
                    9 000 000 F Cfa
                        
                        772678480","https://www.expat-dakar.com/annonce/hyundai-tucson-2017-6310401","Venant","Hyundai","2017","Automatique","Parcelles Assainies","9 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/808eea25c64872f8b8343c4f9c999c21/-/horizon-files-prod/ed/picture/q78wk4vg/0e807bd4a80e8699e89e9dbbb203eacba599d021.jpg"
"1750848040-223","https://www.expat-dakar.com/voitures?page=345","Jeep grand cherokee en très bon état
                                D'occasionJeep2015Automatique
                                                                                    Rufisque,
                                                                                Dakar
                                    
                                        12. mai, 17:49
                                    
                    9 000 000 F Cfa
                        
                        775038270
                    
                        763236354
                    
                        765773559","https://www.expat-dakar.com/annonce/jeep-grand-cherokee-en-tres-bon-etat-6325382","D'occasion","Jeep","2015","Automatique","Rufisque","9 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/136bc349f166dc8a1a1ee0290d7ec7e1/-/horizon-files-prod/ed/picture/qpdgppkj/ed42c18a399ad1c789ed8eab3bae3ac844b4b88d.jpg"
"1750848042-224","https://www.expat-dakar.com/voitures?page=345","Tucson propre à vendre
                                D'occasionHyundai2008Manuelle
                                                                                    Cité Damel,
                                                                                Dakar
                                    
                                        25. avr., 00:18
                                    
                    2 500 000 F Cfa
                        
                        778401481","https://www.expat-dakar.com/annonce/tucson-propre-a-vendre-6325190","D'occasion","Hyundai","2008","Manuelle","Cité Damel","2 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/4f156688a8b79cf6bc9b8653f4f47441/-/horizon-files-prod/ed/picture/qv4dmm5v/9d5c6228d5e92181c0a09803367a7962bb3ee326.jpg"
"1750848045-225","https://www.expat-dakar.com/voitures?page=345","BMW X5
                                D'occasionBMW2014Automatique
                                                                                    Sicap foire,
                                                                                Dakar
                                    
                                        2. avr., 09:15
                                    
                    15 000 000 F Cfa
                        
                        777051980","https://www.expat-dakar.com/annonce/bmw-x5-6325356","D'occasion","BMW","2014","Automatique","Sicap foire","15 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/03c4e188b3b697c23596b2624386422f/-/horizon-files-prod/ed/picture/qm50mmzg/317ca43dc6543dd24d01f71213ea39d29be8434d.jpg"
"1750848048-226","https://www.expat-dakar.com/voitures?page=345","KIA K3
                                VenantKia2016Automatique
                                                                                    Thiès,
                                                                                Thiès
                                    
                                        2. avr., 10:31
                                    
                    6 900 000 F Cfa
                        
                        766580172
                    
                        774499731","https://www.expat-dakar.com/annonce/kia-k3-6325542","Venant","Kia","2016","Automatique","Thiès","6 900 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/fcadc03da00e8f8754c3d9ad216d0329/-/horizon-files-prod/ed/picture/qenrdn9z/da824b7f50c29b4e31f0c429e2e8f65f75b923ed.jpg"
"1750848053-227","https://www.expat-dakar.com/voitures?page=344","VOLKSWAGEN ATLAS PREMIUM 2018
                                VenantVolkswagen2018Automatique
                                                                                    VDN,
                                                                                Dakar
                                    
                                        2. avr., 11:33
                                    
                    17 500 000 F Cfa
                        
                        772045576","https://www.expat-dakar.com/annonce/volkswagen-atlas-premium-2018-6325637","Venant","Volkswagen","2018","Automatique","VDN","17 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/96971921521ad990548f00f399eb9dac/-/horizon-files-prod/ed/picture/qj46m42v/ada42971d5eb23edf3f89bbcc637203bfaa630e3.jpg"
"1750848056-228","https://www.expat-dakar.com/voitures?page=344","Renault Duster 4X4 2017
                                D'occasionRenault2017Manuelle
                                                                                    Grand-Yoff,
                                                                                Dakar
                                    
                                        2. avr., 12:11
                                    
                    10 000 000 F Cfa
                        
                        776506172","https://www.expat-dakar.com/annonce/renault-duster-4x4-2017-6294359","D'occasion","Renault","2017","Manuelle","Grand-Yoff","10 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/6ba82255d5f1476c7fef87451b15c511/-/horizon-files-prod/ed/picture/qj4q8j86/1e691bdcbbcf47de49d72a92fa8214ffcad396e9.jpg"
"1750848059-229","https://www.expat-dakar.com/voitures?page=344","Mitsubishi RVR 2014
                                D'occasionMitsubishi2014Automatique
                                                                                    Fass,
                                                                                Dakar
                                    
                                        2. avr., 12:13
                                    
                    5 800 000 F Cfa
                        
                        774354317","https://www.expat-dakar.com/annonce/mitsubishi-rvr-2014-6325679","D'occasion","Mitsubishi","2014","Automatique","Fass","5 800 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/e7d16c88d6cd8a9e9088bbd417146c6c/-/horizon-files-prod/ed/picture/qgqm5qjn/c85a6e9a4dc0b856071714c965178cfcaeab3dd8.jpg"
"1750848076-230","https://www.expat-dakar.com/voitures?page=344","BMW X3 Xdrive
                                VenantBMW2013Automatique
                                                                                    Ouest foire,
                                                                                Dakar
                                    
                                        2. avr., 12:49
                                    
                    7 300 000 F Cfa
                        
                        773025273","https://www.expat-dakar.com/annonce/bmw-x3-xdrive-6325695","Venant","BMW","2013","Automatique","Ouest foire","7 300 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/32d308f8ccf7466571afef7b2c51606a/-/horizon-files-prod/ed/picture/qq4zq4kk/73c124f21a503edee7dff6e6978745c34ab28dd3.jpg"
"1750848078-231","https://www.expat-dakar.com/voitures?page=344","Ford Edge SEL FULL OPTION
                                VenantFord2018Automatique
                                                                                    Dieuppeul,
                                                                                Dakar
                                    
                                        1. juin, 22:02
                                    
                    8 450 000 F Cfa
                        
                        781952263
                    
                        338241697","https://www.expat-dakar.com/annonce/ford-edge-sel-full-option-6325360","Venant","Ford","2018","Automatique","Dieuppeul","8 450 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/08dc2dc7fcfd31303e06254754546071/-/horizon-files-prod/ed/picture/qpdgppxj/a264659f5eed421f35e2df1906e208794847fded.jpg"
"1750848081-232","https://www.expat-dakar.com/voitures?page=344","CHEVROLET TRAX 2017
                                VenantChevrolet2017Automatique
                                                                                    Thiès,
                                                                                Thiès
                                    
                                        2. avr., 14:52
                                    
                    7 900 000 F Cfa
                        
                        766580172
                    
                        774499731","https://www.expat-dakar.com/annonce/chevrolet-trax-2017-6325849","Venant","Chevrolet","2017","Automatique","Thiès","7 900 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/2a61b47f2bb18d0fa5d2af4afecd84ab/-/horizon-files-prod/ed/picture/qng95g4k/c6281f5e0a22fc6c4a264467f49c0b795c905147.jpg"
"1750848083-233","https://www.expat-dakar.com/voitures?page=344","Ford focus
                                D'occasionFord2012Automatique
                                                                                    Guediawaye,
                                                                                Dakar
                                    
                                        2. avr., 14:52
                                    
                    2 900 000 F Cfa
                        
                        771866823","https://www.expat-dakar.com/annonce/ford-focus-6325843","D'occasion","Ford","2012","Automatique","Guediawaye","2 900 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/d4792bb5f7e1e129d31ba74fc3de7851/-/horizon-files-prod/ed/picture/qzv82v7r/971e06b2e530d0b9d362a002b991013aa78529d2.jpg"
"1750848086-234","https://www.expat-dakar.com/voitures?page=344","Ford ranger 2020
                                VenantFord2020Automatique
                                                                                    Grand-Dakar,
                                                                                Dakar
                                    
                                        2. avr., 14:53
                                    
                    16 000 000 F Cfa
                        
                        776472966","https://www.expat-dakar.com/annonce/ford-ranger-2020-6325837","Venant","Ford","2020","Automatique","Grand-Dakar","16 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/56c3b58eabf3a4b5515236279c8b61c4/-/horizon-files-prod/ed/picture/qj46m4n4/6e7254ce899ed2ff8e23f64a9d5eb23dcc23fea3.jpg"
"1750848089-235","https://www.expat-dakar.com/voitures?page=344","Ford Edge SPORT 2015
                                VenantFord2015Automatique
                                                                                    Hann maristes,
                                                                                Dakar
                                    
                                        8. avr., 12:44
                                    
                    7 900 000 F Cfa
                        
                        787144708","https://www.expat-dakar.com/annonce/ford-edge-sport-2015-6319848","Venant","Ford","2015","Automatique","Hann maristes","7 900 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/01a7a800e278c21e8f952f26dd2b6a67/-/horizon-files-prod/ed/picture/q9mj4dd7/a613c409d9a82511cecc52421a3529fcfc145fe8.jpg"
"1750848101-236","https://www.expat-dakar.com/voitures?page=343","Citroen C4 Picasso 2016
                                VenantCitroen2016Automatique
                                                                                    Mamelles,
                                                                                Dakar
                                    
                                        2. avr., 17:17
                                    
                    6 000 000 F Cfa
                        
                        785219648","https://www.expat-dakar.com/annonce/citroen-c4-picasso-2016-6325953","Venant","Citroen","2016","Automatique","Mamelles","6 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/f97a03866e88d7010db147d291856659/-/horizon-files-prod/ed/picture/q445jd8r/fe2567f95fd29c4e73027adf1482f42598af0dd5.jpg"
"1750848104-237","https://www.expat-dakar.com/voitures?page=343","Glc 4 matin 2016
                                D'occasionMercedes-Benz2016Automatique
                                                                                    VDN,
                                                                                Dakar
                                    
                                        2. avr., 20:09
                                    
                    14 000 000 F Cfa
                        
                        777420028","https://www.expat-dakar.com/annonce/glc-4-matin-2016-6326094","D'occasion","Mercedes-Benz","2016","Automatique","VDN","14 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/2ffd2f1638611f22dd9d1236b040781c/-/horizon-files-prod/ed/picture/qwermzw6/0a8d5f841ec1c95f397e1d756fa6eaadf11b049f.jpg"
"1750848107-238","https://www.expat-dakar.com/voitures?page=343","MAZDA -CX5
                                D'occasionMazda2016Automatique
                                                                                    Colobane,
                                                                                Dakar
                                    
                                        2. avr., 20:20
                                    
                    7 500 000 F Cfa
                        
                        773158255","https://www.expat-dakar.com/annonce/mazda-cx5-6324656","D'occasion","Mazda","2016","Automatique","Colobane","7 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/f46cd45d1e430e4baf8042d394d05fa4/-/horizon-files-prod/ed/picture/qm5g88dj/1955836447494121e0bb66371266bd28de380d00.jpg"
"1750848109-239","https://www.expat-dakar.com/voitures?page=343","Hyundai Elantra 2020
                                VenantHyundai2020Automatique
                                                                                    Diourbel,
                                                                                Diourbel
                                    
                                        3. avr., 08:54
                                    
                    9 000 000 F Cfa
                        
                        774684622","https://www.expat-dakar.com/annonce/hyundai-elantra-2020-6326173","Venant","Hyundai","2020","Automatique","Diourbel","9 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/9b3f889702922a143d9df5133cdb007f/-/horizon-files-prod/ed/picture/qq4zqdkw/cd42042decf53a8224cb227901954dc7ff388e8e.jpg"
"1750848113-240","https://www.expat-dakar.com/voitures?page=343","Hyundai sonata 2013
                                VenantHyundai2013Automatique
                                                                                    Liberte 6,
                                                                                Dakar
                                    
                                        3. avr., 10:52
                                    
                    4 000 000 F Cfa
                        
                        775103460","https://www.expat-dakar.com/annonce/hyundai-sonata-2013-6326440","Venant","Hyundai","2013","Automatique","Liberte 6","4 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/26539fdfe48865384102ffd165be5838/-/horizon-files-prod/ed/picture/qde9rkk4/51cbe8e6adb2795286738333345256d98b943044.jpg"
"1750848117-241","https://www.expat-dakar.com/voitures?page=343","Mitsubishi Montero A Vendre
                                NeufMitsubishi2022Automatique
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        3. avr., 11:51
                                    
                    30 000 000 F Cfa
                        
                        775559494","https://www.expat-dakar.com/annonce/mitsubishi-montero-a-vendre-6326511","Neuf","Mitsubishi","2022","Automatique","Plateau","30 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/239b19f4655fd5ddcc9df0e131e1c839/-/horizon-files-prod/ed/picture/qxj8d2gm/2ae57cc0371dd112bf47a30b75bf4bb7d37718f9.jpg"
"1750848120-242","https://www.expat-dakar.com/voitures?page=343","MAZDA CX-8 2018
                                D'occasionMazda2018Automatique
                                                                                    Liberte 6,
                                                                                Dakar
                                    
                                        3. avr., 13:57
                                    
                    8 000 000 F Cfa
                        
                        771341824
                    
                        771341824","https://www.expat-dakar.com/annonce/mazda-cx-8-2018-6326564","D'occasion","Mazda","2018","Automatique","Liberte 6","8 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/b0d1798b16204570552c3b3491e1b17b/-/horizon-files-prod/ed/picture/qenrdqw5/18be0294577e23a4dae42c6a58dc0add1e881040.jpg"
"1750848131-243","https://www.expat-dakar.com/voitures?page=343","FORD EDGE 2014
                                D'occasionFord2014Automatique
                                                                                    Liberte 6,
                                                                                Dakar
                                    
                                        3. avr., 13:56
                                    
                    4 700 000 F Cfa
                        
                        771341824
                    
                        771341824","https://www.expat-dakar.com/annonce/ford-edge-2014-6326575","D'occasion","Ford","2014","Automatique","Liberte 6","4 700 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/a153bd992629a09f8e73cfd1c0adf17e/-/horizon-files-prod/ed/picture/q445j8p2/4862a0d4f4bb0a6bbabc5c9c2d2ee3f7635013dd.jpg"
"1750848135-244","https://www.expat-dakar.com/voitures?page=343","MAZDA CX-5 2016
                                D'occasionMazda2016Automatique
                                                                                    Liberte 6,
                                                                                Dakar
                                    
                                        3. avr., 12:33
                                    
                    7 500 000 F Cfa
                        
                        771341824
                    
                        771341824","https://www.expat-dakar.com/annonce/mazda-cx-5-2016-6326580","D'occasion","Mazda","2016","Automatique","Liberte 6","7 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/d21ac985c5924f00c88a33ad5e953f2e/-/horizon-files-prod/ed/picture/qkr7mg0j/2fb3255fcecb9fbe06e3d274a549c7cbbec7f60d.jpg"
"1750848140-245","https://www.expat-dakar.com/voitures?page=342","MITSUBISHI PAJERO 2015
                                D'occasionMitsubishi2015Automatique
                                                                                    Liberte 6,
                                                                                Dakar
                                    
                                        3. avr., 12:36
                                    
                    8 500 000 F Cfa
                        
                        771341824
                    
                        771341824","https://www.expat-dakar.com/annonce/mitsubishi-pajero-2015-6326584","D'occasion","Mitsubishi","2015","Automatique","Liberte 6","8 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/86ea5dd719b10c5fd6c312105fb9b2e5/-/horizon-files-prod/ed/picture/qde9rk4r/f0613b5bc4b10ab7661a97611cd0ed192c81c149.jpg"
"1750848143-246","https://www.expat-dakar.com/voitures?page=342","Kia Seltos à vendre
                                D'occasionKia2021Manuelle
                                                                                    VDN,
                                                                                Dakar
                                    
                                        3. avr., 13:21
                                    
                    10 000 000 F Cfa
                        
                        774453737
                    
                        774453737
                    
                        338270509","https://www.expat-dakar.com/annonce/kia-seltos-a-vendre-6326632","D'occasion","Kia","2021","Manuelle","VDN","10 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/1f92b928e746755a4b07be3aba9898df/-/horizon-files-prod/ed/picture/qrzr2v48/76d6779ecb77b3ab26ca2aa604910923cc839efd.jpg"
"1750848146-247","https://www.expat-dakar.com/voitures?page=342","Mercedes-Benz GLC 300 2017
                                VenantMercedes-Benz2017Automatique
                                                                                    Thiès,
                                                                                Thiès
                                    
                                        3. avr., 13:25
                                    
                    18 000 000 F Cfa
                        
                        775673419","https://www.expat-dakar.com/annonce/mercedes-benz-glc-300-2017-6325911","Venant","Mercedes-Benz","2017","Automatique","Thiès","18 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/b8de91bab0ebd100785553084fec7308/-/horizon-files-prod/ed/picture/qxj8d6jq/fddbbc046fd74bddf4326f7d971c7572c00cbadc.jpg"
"1750848149-248","https://www.expat-dakar.com/voitures?page=342","Renault megane 3
                                D'occasionRenault2013Manuelle
                                                                                    Amitié,
                                                                                Dakar
                                    
                                        27. mai, 14:33
                                    
                    3 250 000 F Cfa
                        
                        774745467
                    
                        774745467","https://www.expat-dakar.com/annonce/renault-megane-3-6302211","D'occasion","Renault","2013","Manuelle","Amitié","3 250 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/3c04d9c50b7b5720eb2bf3f67eda8af6/-/horizon-files-prod/ed/picture/qxjp0062/c90d3775c0ddf61e6dc20d522dd249cab60f4320.jpg"
"1750848166-249","https://www.expat-dakar.com/voitures?page=342","Hyundai Tucson 2016
                                VenantHyundai2016Automatique
                                                                                    Sud foire,
                                                                                Dakar
                                    
                                        3. avr., 14:16
                                    
                    10 000 000 F Cfa
                        
                        775229910
                    
                        773068436","https://www.expat-dakar.com/annonce/hyundai-tucson-2016-6265935","Venant","Hyundai","2016","Automatique","Sud foire","10 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/160a2766df6574e12fad70f9f354d14f/-/horizon-files-prod/ed/picture/qgqw6z9m/fb1917df0112698c25d78575fa0e150587f0e3ce.jpg"
"1750848169-250","https://www.expat-dakar.com/voitures?page=342","Ford Edge 2010
                                D'occasionFord2010Automatique
                                                                                    Amitié,
                                                                                Dakar
                                    
                                        3. avr., 15:16
                                    
                    2 200 000 F Cfa
                        
                        774529742","https://www.expat-dakar.com/annonce/ford-edge-2010-6326793","D'occasion","Ford","2010","Automatique","Amitié","2 200 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/705b99ba84b03e75c528c720e03962d3/-/horizon-files-prod/ed/picture/qng95xmz/3e218e3b7788cb1abaffb2438729d02445489444.jpg"
"1750848171-251","https://www.expat-dakar.com/voitures?page=342","Ford Fusion 2017
                                D'occasionFord2017Automatique
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        3. avr., 16:13
                                    
                                            Vendeur vérifié
                                        
                    5 250 000 F Cfa
                        
                        771693762","https://www.expat-dakar.com/annonce/ford-fusion-2017-6310691","D'occasion","Ford","2017","Automatique","Plateau","5 250 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/0fe6e01b1df3c8f7ba0d8ea2adb9fc3a/-/horizon-files-prod/ed/picture/q0g7qvxx/4b6dc3814ae69e8e269eeaeb9a23d5327529637c.jpg"
